Cell type 1,n cells 1,frac cells 1,Median 1,Cell type 2,Median 2,method,alternative,statistic,estimate,conf.low,conf.high,p.value,p_adj
BEC,49,0.07596899224806201,0.043137254901960784,unassigned-LEC,0.3022157996146435,Wilcoxon rank sum test with continuity correction,two.sided,603,-0.23454442345498472,-0.2787646282923624,-0.19392544594843278,8.405261052100426e-23,8.405261052100426e-22
BEC,49,0.07596899224806201,0.043137254901960784,Marco_LEC,0.15220949263502456,Wilcoxon rank sum test with continuity correction,two.sided,2411,-0.0917225158215221,-0.1279689407244858,-0.060532591080945004,2.8113613603497864e-10,2.8113613603497865e-9
BEC,49,0.07596899224806201,0.043137254901960784,FRC,0.03131269704786472,Wilcoxon rank sum test with continuity correction,two.sided,2289,0.0023687777173157557,-0.008221516372716129,0.019272014005922277,0.6308557452092878,1
BEC,49,0.07596899224806201,0.043137254901960784,PvC,0.05311648112141979,Wilcoxon rank sum test with continuity correction,two.sided,907,-0.01124847913230966,-0.04197315877859503,0.005296010058065753,0.1895274060625762,1
FRC,89,0.13798449612403102,0.03131269704786472,unassigned-LEC,0.3022157996146435,Wilcoxon rank sum test with continuity correction,two.sided,1366,-0.237734209571724,-0.2741510845902113,-0.20641008129200286,2.354302688685799e-33,2.3543026886857988e-32
FRC,89,0.13798449612403102,0.03131269704786472,Marco_LEC,0.15220949263502456,Wilcoxon rank sum test with continuity correction,two.sided,4075,-0.09794552698447019,-0.12448704025752545,-0.07142853192936253,5.969450324769964e-17,5.969450324769964e-16
FRC,89,0.13798449612403102,0.03131269704786472,PvC,0.05311648112141979,Wilcoxon rank sum test with continuity correction,two.sided,1560,-0.013083850147960424,-0.041490555669293015,4.157758238308218e-4,0.05731812569966594,0.5731812569966594
Marco_LEC,231,0.3581395348837209,0.15220949263502456,unassigned-LEC,0.3022157996146435,Wilcoxon rank sum test with continuity correction,two.sided,13638,-0.13153912636516882,-0.15847315084656083,-0.10522835128315444,6.234506289139368e-20,6.234506289139369e-19
Marco_LEC,231,0.3581395348837209,0.15220949263502456,PvC,0.05311648112141979,Wilcoxon rank sum test with continuity correction,two.sided,6746,0.058654775374606644,0.025126262951593085,0.09922542595913915,5.805555064718823e-4,0.005805555064718823
PvC,44,0.06821705426356589,0.05311648112141979,unassigned-LEC,0.3022157996146435,Wilcoxon rank sum test with continuity correction,two.sided,2169,-0.19069060606764368,-0.24095330575539003,-0.14377060003927114,1.4917520517537581e-9,1.491752051753758e-8
